Name,Original Region,Variant,National Dex #,Type 1,Type 2,Ability 1,Ability 2,Hidden Ability,Egg Group 1,Egg Group 2,Weight (kg),HP,Atk,Def,Sp. Atk,Sp. Def,Speed
Bulbasaur,Kanto,,1,Grass,Poison,Overgrow,,Chlorophyll,Monster,Grass,6.9,45,49,49,65,65,45
Ivysaur,Kanto,,2,Grass,Poison,Overgrow,,Chlorophyll,Monster,Grass,13,60,62,63,80,80,60
Venusaur,Kanto,,3,Grass,Poison,Overgrow,,Chlorophyll,Monster,Grass,100,80,82,83,100,100,80
Charmander,Kanto,,4,Fire,,Blaze,,Solar Power,Monster,Dragon,8.5,39,52,43,60,50,65
Charmeleon,Kanto,,5,Fire,,Blaze,,Solar Power,Monster,Dragon,19,58,64,58,80,65,80
Charizard,Kanto,,6,Fire,Flying,Blaze,,Solar Power,Monster,Dragon,90.5,78,84,78,109,85,100
Squirtle,Kanto,,7,Water,,Torrent,,Rain Dish,Monster,Water 1,9,44,48,65,50,64,43
Wartortle,Kanto,,8,Water,,Torrent,,Rain Dish,Monster,Water 1,22.5,59,63,80,65,80,58
Blastoise,Kanto,,9,Water,,Torrent,,Rain Dish,Monster,Water 1,85.5,79,83,100,85,105,78
Caterpie,Kanto,,10,Bug,,Shield Dust,,Run Away,Bug,,2.9,45,30,35,20,20,45
Metapod,Kanto,,11,Bug,,Shed Skin,,,Bug,,9.9,50,20,55,25,25,30
Butterfree,Kanto,,12,Bug,Flying,Compound Eyes,,Tinted Lens,Bug,,32,60,45,50,90,80,70
Weedle,Kanto,,13,Bug,,Shield Dust,,Run Away,Bug,,3.2,40,35,30,20,20,50
Kakuna,Kanto,,14,Bug,,Shed Skin,,,Bug,,10,45,25,50,25,25,35
Beedrill,Kanto,,15,Bug,Poison,Swarm,,Sniper,Bug,,29.5,65,90,40,45,80,75
Pidgey,Kanto,,16,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Flying,,1.8,40,45,40,35,35,56
Pidgeotto,Kanto,,17,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Flying,,30,63,60,55,50,50,71
Pidgeot,Kanto,,18,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Flying,,39.5,83,80,75,70,70,101
Rattata,Kanto,,19,Normal,,Run Away,Guts,Hustle,Field,,3.5,30,56,35,25,35,72
Rattata,Alola,,19,Dark,Normal,Gluttony,Hustle,Thick Fat,Field,,3.8,30,56,35,25,35,72
Raticate,Kanto,,20,Normal,,Run Away,Guts,Hustle,Field,,18.5,55,81,60,50,70,97
Raticate,Alola,,20,Dark,Normal,Gluttony,Hustle,Thick Fat,Field,,25.5,75,71,70,40,80,77
Spearow,Kanto,,21,Normal,Flying,Keen Eye,,Sniper,Flying,,2,40,60,30,31,31,70
Fearow,Kanto,,22,Normal,Flying,Keen Eye,,Sniper,Flying,,38,65,90,65,61,61,100
Ekans,Kanto,,23,Poison,,Intimidate,Shed Skin,Unnerve,Field,Dragon,6.9,35,60,44,40,54,55
Arbok,Kanto,,24,Poison,,Intimidate,Shed Skin,Unnerve,Field,Dragon,65,60,95,69,65,79,80
Pikachu,Kanto,,25,Electric,,Static,,Lightning Rod,Field,Fairy,6,35,55,40,50,50,90
Raichu,Kanto,,26,Electric,,Static,,Lightning Rod,Field,Fairy,30,60,90,55,90,80,110
Raichu,Alola,,26,Electric,Psychic,Surge Surfer,,,Field,Fairy,21,60,85,50,95,85,110
Sandshrew,Kanto,,27,Ground,,Sand Veil,,Sand Rush,Field,,12,50,75,85,20,30,40
Sandshrew,Alola,,27,Ice,Steel,Snow Cloak,,Slush Rush,Field,,40,50,75,90,10,35,40
Sandslash,Kanto,,28,Ground,,Sand Veil,,Sand Rush,Field,,29.5,75,100,110,45,55,65
Sandslash,Alola,,28,Ice,Steel,Snow Cloak,,Slush Rush,Field,,55,75,100,120,25,65,65
Nidoran,Kanto,Female,29,Poison,,Poison Point,Rivalry,Hustle,Monster,Field,7,55,47,52,40,40,41
Nidorina,Kanto,,30,Poison,,Poison Point,Rivalry,Hustle,No Eggs Discovered,,20,70,62,67,55,55,56
Nidoqueen,Kanto,,31,Poison,Ground,Poison Point,Rivalry,Sheer Force,No Eggs Discovered,,60,90,92,87,75,85,76
Nidoran,Kanto,Male,32,Poison,,Poison Point,Rivalry,Hustle,Monster,Field,9,46,57,40,40,40,50
Nidorino,Kanto,,33,Poison,,Poison Point,Rivalry,Hustle,Monster,Field,19.5,61,72,57,55,55,65
Nidoking,Kanto,,34,Poison,Ground,Poison Point,Rivalry,Sheer Force,Monster,Field,62,81,102,77,85,75,85
Clefairy,Kanto,,35,Fairy,,Cute Charm,Magic Guard,Friend Guard,Fairy,,7.5,70,45,48,60,65,35
Clefable,Kanto,,36,Fairy,,Cute Charm,Magic Guard,Unaware,Fairy,,40,95,70,73,95,90,60
Vulpix,Kanto,,37,Fire,,Flash Fire,,Drought,Field,,9.9,38,41,40,50,65,65
Vulpix,Alola,,37,Ice,,Snow Cloak,,Snow Warning,Field,,9.9,38,41,40,50,65,65
Ninetales,Kanto,,38,Fire,,Flash Fire,,Drought,Field,,19.9,73,76,75,81,100,100
Ninetales,Alola,,38,Ice,Fairy,Snow Cloak,,Snow Warning,Field,,19.9,73,67,75,81,100,109
Jigglypuff,Kanto,,39,Normal,Fairy,Cute Charm,Competitive,Friend Guard,Fairy,,5.5,115,45,20,45,25,20
Wigglytuff,Kanto,,40,Normal,Fairy,Cute Charm,Competitive,Frisk,Fairy,,12,140,70,45,85,50,45
Zubat,Kanto,,41,Poison,Flying,Inner Focus,,Infiltrator,Flying,,7.5,40,45,35,30,40,55
Golbat,Kanto,,42,Poison,Flying,Inner Focus,,Infiltrator,Flying,,55,75,80,70,65,75,90
Oddish,Kanto,,43,Grass,Poison,Chlorophyll,,Run Away,Grass,,5.4,45,50,55,75,65,30
Gloom,Kanto,,44,Grass,Poison,Chlorophyll,,Stench,Grass,,8.6,60,65,70,85,75,40
Vileplume,Kanto,,45,Grass,Poison,Chlorophyll,,Effect Spore,Grass,,18.6,75,80,85,110,90,50
Paras,Kanto,,46,Bug,Grass,Effect Spore,Dry Skin,Damp,Bug,Grass,5.4,35,70,55,45,55,25
Parasect,Kanto,,47,Bug,Grass,Effect Spore,Dry Skin,Damp,Bug,Grass,29.5,60,95,80,60,80,30
Venonat,Kanto,,48,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,Bug,,30,60,55,50,40,55,45
Venomoth,Kanto,,49,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,Bug,,12.5,70,65,60,90,75,90
Diglett,Kanto,,50,Ground,,Sand Veil,Arena Trap,Sand Force,Field,,0.8,10,55,25,35,45,95
